FSDIVER,,,,,C       Countable unit State diversion payments
FSEARN,,,,,C       Countable unit earned income
FSEDLOAN,,,,,C       Countable unit income from educational grants and loans
FSEITC,,,,,C       Countable unit income from earned income tax credit
FSENERGY,,,,,C       Countable unit energy assistance income
FSFOSTER,,,,,C       Countable unit foster care income
FSGA,,,,,C       Countable unit general assistance benefits
FSGRINC,,,,,C       Final gross countable unit income
FSNETINC,,,,,C       Final net countable unit income
FSOTHERN,,,,,C       Countable unit other earned income
FSOTHGOV,,,,,C       Countable unit income from other government benefits
FSOTHUN,,,,,C       Countable unit other unearned income
FSSLFEMP,,,,,C       Countable unit self-employment income
FSSOCSEC,,,,,C       Countable unit Social Security income
FSSSI,,,,,C       Countable unit SSI benefits
FSTANF,,,,,C       Countable unit TANF payments
FSUNEARN,,,,,C       Countable unit unearned income
FSUNEMP,,,,,C       Countable unit unemployment compensation benefits
FSVET,,,,,C       Countable unit veterans benefits
FSWAGES,,,,,C       Countable unit wages and salaries
FSWCOMP,,,,,C       Countable unit workers' comp benefits
FSWGESUP,,,,,C       Countable unit wage supplementation income
RAWGROSS,,,,,R       Reported gross countable unit income
RAWNET,,,,,R       Reported net countable unit income
,,,,,
Unit countable and reported assets (UNIT_Assets),,,,,
FSASSET,,,,,C       Total countable assets under State rules
FSVEHAST,,,,,C       Countable non-excluded vehicles' value under State rules
LIQRESOR,,,,,C       Countable liquid assets under State rules
OTHNLRES,,,,,C       Countable other nonliquid assets under State rules
RAWLQRES,,,,,R       Reported liquid assets
RAWOTRES,,,,,R       Reported other nonliquid assets
RAWRPROP,,,,,R       Reported real property
RAWVHAST,,,,,R       Reported non-excluded vehicles' value
REALPROP,,,,,C       Countable real property under State rules
VEHICLEA,,,,,R       Reported category for first vehicle
VEHICLEB,,,,,R       Reported category for second vehicle
,,,,,
Unit expenses and deductions (UNIT_ExDed),,,,,
ERN_INC_DED_PCT,,,,,C             Percentage used to calculate earned income deduction
EXCL_FSCSDED,,,,,C             Child support excluded from gross income
FSCSDED,,,,,C             Child support payment deduction
FSCSEXP,,,,,R             Reported child support payment deduction
FSDEPDED,,,,,R             Reported dependent care deduction
FSDEPDE2,,,,,C             Marginal effectiveness of dependent care deduction
FSERNDED,,,,,C             Calculated earned income deduction
FSERNDE2,,,,,C             Marginal effectiveness of earned income deduction
FSMEDDED,,,,,C             Calculated medical expense deduction
FSMEDDE2,,,,,C             Marginal effectiveness of medical expense deduction
FSMEDEXP,,,,,R             Reported medical expenses
FSSLTDED,,,,,C             Calculated excess shelter expense deduction
FSSLTDE2,,,,,C             Marginal effectiveness of excess shelter expense deduction
FSSLTEXP,,,,,C             Calculated shelter expenses
FSSTDDED,,,,,C             Standard deduction
FSSTDDE2,,,,,C             Marginal effectiveness of standard deduction
FSTOTDED,,,,,C             Total deductions
FSTOTDE2,,,,,C             Marginal effectiveness of total deduction
HOMEDED,,,,,R             Indicator of homelessness
HOMELESS_DED,,,,,C             Amount of homeless household shelter deduction
RAWERND,,,,,R             Reported earned income deduction
RENT,,,,,R             Rent/mortgage amount
SHELCAP,,,,,C             Maximum allowable shelter expense deduction
SHELDED,,,,,R             Reported shelter deduction
SUA1,,,,,R             Standard utility allowance - usage and entitlement
SUA2,,,,,R             Standard utility allowance - prorated
UTIL                     ,,,,,R             Utility amount
,,,,,
Unit benefits (Not Included in These Analyses),,,,,
AMTERR                    R       Amount of benefit in error,,,,,
ASSLIM                    C       Asset limit,,,,,
BENMAX                    C       Maximum benefit amount,,,,,
FSASTEST                  C       Indicator of passing asset test,,,,,
FSBEN                     C       Final calculated benefit,,,,,
FSGRTEST                  C       Indicator of passing gross income test,,,,,
FSMINBEN                  C       Received minimum benefit,,,,,
FSNETEST                  C       Indicator of passing net income test,,,,,
GROSSCRN                  C       Gross income screen,,,,,
MINIMUM_BEN               C       Minimum benefit amount,,,,,
NETSCRN                   C       Net income screen,,,,,
RAWBEN                    R       Reported SNAP benefit received,,,,,
,,,,,
Person-level characteristics: i = 1 to 16 (PERS_Char),,,,,
ABWDSTi,,,,,R       ABAWD status
AGEi,,,,,R       Age
CTZNi,,,,,R       Citizenship status
DISi,,,,,C       Person-level disability indicator
DPCOSTi,,,,,R       Reported dependent care cost
EMPRGi,,,,,R       SNAP Employment and Training program status
EMPSTAi,,,,,R       Employment status - type
EMPSTBi,,,,,R       Employment status - amount
FSAFILi,,,,,R       SNAP case affiliation
FSUNi,,,,,C       Position of head of SNAP unit
NDISCAi,,,,,C       Adult age 18 to 49 without disabilities in childless unit status
RACETHi,,,,,R       Race/ethnicity
RELi,,,,,R       Relationship to head of household
SEXi,,,,,R       Sex
WORKi,,,,,C       Person-level working indicator
WRKREGi,,,,,R       Work registration status
YRSEDi,,,,,R       Highest educational level completed
,,,,,
Person-level countable income (monthly dollar amounts): i = 1 to 16 (PERS_Inc),,,,,
CONTi,,,,,R       Countable income from contributions
CSUPRTi,,,,,R       Countable child support payment income
DEEMi,,,,,R       Countable deemed income
DIVERi,,,,,R       Countable State diversion payments
EDLOANi,,,,,R       Countable income from educational grants and loans
EITCi,,,,,R       Countable income from earned income tax credit
ENERGYi,,,,,R       Countable energy assistance income
FOSTERi,,,,,R      Countable foster child income
Gai,,,,,R      Countable general assistance benefits
OTHERNi,,,,,R      Countable other earned income
OTHGOVi,,,,,R      Countable income from other government benefits
OTHUNi,,,,,R      Countable other unearned income
SLFEMPi,,,,,R      Countable self-employment income
SOCSECi,,,,,R      Countable Social Security income
SSIi,,,,,R      Countable SSI benefits
TANFi,,,,,R      Countable TANF payments
UNEMPi,,,,,R      Countable unemployment compensation benefits
VETi,,,,,R      Countable veterans' benefits
WAGESi,,,,,R      Countable wages and salaries
WCOMPi,,,,,R      Countable workers' compensation benefits
WGESUPi,,,,,R      Countable wage supplementation income
,,,,,
Detailed error findings: i = 1 to 9 (Not Included in These Analyses),,,,,
AGENCYi                   R      Agency or client responsibility,,,,,
AMOUNTi                   R      Variance dollar amount,,,,,
DISCOVi                   R      Variance discovery,,,,,
E_FINDGi                  R      Error finding,,,,,
ELEMENTi                  R      Variance element,,,,,
NATUREi                   R      Nature of variance,,,,,
OCCDATEi                  R      Variance occurrence date,,,,,
TIMEPERi                  R      Variance time period,,,,,
VERIFi                    R      Variance verification,,,,,
